Crypto,Date,Open,High,Low,Close
BTC,8/22/18,6452,6859,6317,6334
BTC,8/21/18,6454,6480,6239,6447
BTC,8/20/18,6519,6543,6393,6452
BTC,8/19/18,6359,6534,6317,6519
BTC,8/18/18,6476,6610,6310,6359
BTC,8/17/18,6256,6551,6234,6476
BTC,8/16/18,6377,6471,6223,6254
BTC,8/15/18,6081,6613,6073,6373
BTC,8/14/18,6277,6283,5900,6081
BTC,8/13/18,6339,6535,6165,6277
BTC,08/12/2018,6418,6465,6178,6339
BTC,08/11/2018,6191,6462,6009,6399
BTC,08/10/2018,6508,6622,6152,6186
BTC,08/09/2018,6316,6536,6204,6508
BTC,08/08/2018,6874,6879,6133,6316
BTC,08/07/2018,6920,7149,6845,6874
BTC,08/06/2018,7049,7146,6885,6920
BTC,08/05/2018,6982,7082,6894,7037
BTC,08/04/2018,7389,7485,6933,6982
BTC,08/03/2018,7556,7565,7290,7389
BTC,08/02/2018,7483,7701,7444,7556
BTC,08/01/2018,7693,7769,7469,7484
BTC,7/31/18,8152,8195,7672,7692
BTC,7/30/18,8192,8271,7860,8151
BTC,7/29/18,8169,8283,8124,8192
BTC,7/28/18,8228,8267,8074,8169
BTC,7/27/18,8138,8270,7799,8229
BTC,7/26/18,8181,8317,8113,8134
BTC,7/25/18,8227,8479,8062,8183
BTC,7/24/18,7703,8343,7694,8227
BTC,7/23/18,7520,7785,7344,7703
BTC,7/22/18,7416,7544,7351,7520
BTC,7/21/18,7351,7442,7217,7416
BTC,7/20/18,7421,7657,7273,7352
BTC,7/19/18,7336,7506,7285,7421
BTC,7/18/18,7311,7575,7245,7336
BTC,7/17/18,6663,7440,6647,7311
BTC,7/16/18,6374,6698,6332,6663
BTC,7/15/18,6273,6384,6234,6373
BTC,7/14/18,6186,6306,6184,6274
BTC,7/13/18,6173,6331,6088,6186
BTC,07/12/2018,6356,6382,6148,6173
BTC,07/11/2018,6388,6401,6289,6356
BTC,07/10/2018,6697,6792,6324,6388
BTC,07/09/2018,6747,6753,6673,6697
BTC,07/08/2018,6527,6811,6521,6749
BTC,07/07/2018,6569,6618,6514,6527
BTC,07/06/2018,6508,6623,6455,6569
BTC,07/05/2018,6687,6692,6454,6508
BTC,07/04/2018,6607,6784,6420,6687
BTC,07/03/2018,6620,6668,6538,6608
BTC,07/02/2018,6359,6665,6279,6620
BTC,07/01/2018,6350,6427,6262,6359
BTC,6/30/18,5897,6503,5897,6350
BTC,6/29/18,6043,6046,5800,5902
BTC,6/28/18,6127,6176,6033,6042
BTC,6/27/18,6183,6246,6007,6127
BTC,6/26/18,6250,6271,6137,6183
BTC,6/25/18,6188,6317,6086,6250
BTC,6/24/18,6135,6252,5785,6188
BTC,6/23/18,6073,6174,5938,6134
BTC,6/22/18,6718,6742,6022,6073
BTC,6/21/18,6750,6786,6685,6718
BTC,6/20/18,6696,6809,6562,6750
BTC,6/19/18,6727,6825,6675,6695
BTC,6/18/18,6490,6793,6388,6727
BTC,6/17/18,6525,6569,6449,6490
BTC,6/16/18,6498,6540,6334,6525
BTC,6/15/18,6656,6683,6452,6498
BTC,6/14/18,6259,6700,6241,6659
BTC,6/13/18,6529,6610,6133,6252
BTC,06/12/2018,6762,6899,6456,6529
BTC,06/11/2018,6719,6816,6652,6762
BTC,06/10/2018,7631,7631,6647,6719
BTC,06/09/2018,7646,7679,7576,7632
BTC,06/08/2018,7660,7694,7545,7646
BTC,06/07/2018,7622,7750,7616,7660
BTC,06/06/2018,7627,7670,7495,7622
BTC,06/05/2018,7524,7648,7373,7627
BTC,06/04/2018,7727,7755,7457,7524
BTC,06/03/2018,7616,7769,7598,7727
BTC,06/02/2018,7438,7683,7437,7616
BTC,06/01/2018,7539,7600,7355,7438
BTC,5/31/18,7338,7599,7324,7539
BTC,5/30/18,7499,7552,7286,7338
BTC,5/29/18,7218,7519,7054,7499
BTC,5/28/18,7313,7431,7177,7220
BTC,5/27/18,7526,7607,7227,7313
BTC,5/26/18,7448,7612,7363,7526
BTC,5/25/18,7549,7650,7345,7448
BTC,5/24/18,7588,7722,7273,7555
BTC,5/23/18,8106,8108,7443,7581
BTC,5/22/18,8409,8417,8093,8106
BTC,5/21/18,8554,8566,8325,8409
BTC,5/20/18,8266,8583,8172,8555
BTC,5/19/18,8227,8393,8154,8275
BTC,5/18/18,8206,8274,7931,8225
BTC,5/17/18,8294,8459,8133,8206
BTC,5/16/18,8524,8539,8110,8294
BTC,5/15/18,8816,8844,8435,8529
BTC,5/14/18,8715,8879,8296,8842
BTC,5/13/18,8436,8734,8343,8711
BTC,05/12/2018,8436,8643,8221,8436
BTC,05/11/2018,9094,9127,8389,8436
BTC,05/10/2018,9252,9383,9054,9094
BTC,05/09/2018,9158,9360,8976,9253
BTC,05/08/2018,9434,9455,9050,9158
BTC,05/07/2018,9518,9635,9189,9434
BTC,05/06/2018,9743,9910,9409,9540
BTC,05/05/2018,9689,9955,9676,9743
BTC,05/04/2018,9656,9791,9540,9689
BTC,05/03/2018,9181,9726,9162,9658
BTC,05/02/2018,9013,9182,8984,9168
BTC,05/01/2018,9275,9282,8842,9013
BTC,4/30/18,9293,9443,9125,9275
BTC,4/29/18,9365,9537,9183,9294
BTC,4/28/18,8976,9419,8874,9365
BTC,4/27/18,9108,9372,8964,8973
BTC,4/26/18,9074,9172,8661,9108
BTC,4/25/18,9451,9747,8734,9074
BTC,4/24/18,8932,9459,8914,9451
BTC,4/23/18,8894,8987,8762,8930
BTC,4/22/18,8773,9010,8754,8887
BTC,4/21/18,8522,9021,8512,8773
BTC,4/20/18,8234,8555,8221,8522
